ProductCode                                        ProductDescription                                                                                                                                                                                                                                              SubCategoryCode Brand                                                                                                                                                                                                                                                           Cost                  Price                 Type                                                                                                                                                                                                                                                            Color                                                                                                                                                                                                                                                           ShipDays               Status
-------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------------- --------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
BZ-811                                             Bulldozers-Toyota-HeavyDuty-Green                                                                                                                                                                                                                               1               Toyota                                                                                                                                                                                                                                                          2917.00               3034.00               HeavyDuty                                                                                                                                                                                                                                                       Green                                                                                                                                                                                                                                                           9                      Active
BZ-812                                             Bulldozers-Case-HeavyDuty-White                                                                                                                                                                                                                                 1               Case                                                                                                                                                                                                                                                            7396.00               9171.00               HeavyDuty                                                                                                                                                                                                                                                       White                                                                                                                                                                                                                                                           11                     Active
CR-101                                             Cranes-Xuzhou-HeavyDuty-RedWhite                                                                                                                                                                                                                                2               Xuzhou                                                                                                                                                                                                                                                          5359.00               6592.00               HeavyDuty                                                                                                                                                                                                                                                       RedWhite                                                                                                                                                                                                                                                        6                      Active
CR-102                                             Cranes-TransGulf-Standard-Green                                                                                                                                                                                                                                 2               TransGulf                                                                                                                                                                                                                                                       7085.00               8573.00               Standard                                                                                                                                                                                                                                                        Green                                                                                                                                                                                                                                                           10                     Active
CR-103                                             Cranes-Columbus-Standard-Yellow                                                                                                                                                                                                                                 2               Columbus                                                                                                                                                                                                                                                        5641.00               5979.00               Standard                                                                                                                                                                                                                                                        Yellow                                                                                                                                                                                                                                                          18                     Active
CR-104                                             Cranes-Manitowoc-HeavyDuty-White                                                                                                                                                                                                                                2               Manitowoc                                                                                                                                                                                                                                                       3161.00               3256.00               HeavyDuty                                                                                                                                                                                                                                                       White                                                                                                                                                                                                                                                           19                     Active
CR-105                                             Cranes-Kobelco-LightDuty-Orange                                                                                                                                                                                                                                 2               Kobelco                                                                                                                                                                                                                                                         2959.00               3018.00               LightDuty                                                                                                                                                                                                                                                       Orange                                                                                                                                                                                                                                                          19                     Active
CR-106                                             Cranes-Liebherr-Standard-Red                                                                                                                                                                                                                                    2               Liebherr                                                                                                                                                                                                                                                        7945.00               10408.00              Standard                                                                                                                                                                                                                                                        Red                                                                                                                                                                                                                                                             19                     Active
CR-107                                             Cranes-Kone-HeavyDuty-Red                                                                                                                                                                                                                                       2               KoneCranes                                                                                                                                                                                                                                                      6832.00               8130.00               HeavyDuty                                                                                                                                                                                                                                                       Red                                                                                                                                                                                                                                                             6                      Active
CR-108                                             Cranes-Hitachi-Standard-Red                                                                                                                                                                                                                                     2               Hitachi                                                                                                                                                                                                                                                         7048.00               9515.00               Standard                                                                                                                                                                                                                                                        Red                                                                                                                                                                                                                                                             5                      Active
CR-109                                             Cranes-Cargotec-LightDuty-White                                                                                                                                                                                                                                 2               Cargotec                                                                                                                                                                                                                                                        5087.00               5952.00               LightDuty                                                                                                                                                                                                                                                       White                                                                                                                                                                                                                                                           13                     Active
CR-110                                             Cranes-Terex-HeavyDuty-Red                                                                                                                                                                                                                                      2               Terex                                                                                                                                                                                                                                                           8547.00               10598.00              HeavyDuty                                                                                                                                                                                                                                                       Red                                                                                                                                                                                                                                                             10                     Active
CR-111                                             Cranes-Tadano-Standard-Orange                                                                                                                                                                                                                                   2               Tadano                                                                                                                                                                                                                                                          9947.00               11340.00              Standard                                                                                                                                                                                                                                                        Orange                                                                                                                                                                                                                                                          11                     Active
CR-112                                             Cranes-Palfinger-HeavyDuty-YellowBlack                                                                                                                                                                                                                          2               Palfinger                                                                                                                                                                                                                                                       9511.00               10177.00              HeavyDuty                                                                                                                                                                                                                                                       YellowBlack                                                                                                                                                                                                                                                     7                      Active
CT-710                                             Compactors-BomMach-LightDuty-Orange                                                                                                                                                                                                                             3               BomMach                                                                                                                                                                                                                                                         3200.00               4096.00               LightDuty                                                                                                                                                                                                                                                       Orange                                                                                                                                                                                                                                                          6                      Active
CT-711                                             Compactors-Bobcat-LightDuty-Green                                                                                                                                                                                                                               3               Bobcat                                                                                                                                                                                                                                                          2300.00               3013.00               LightDuty                                                                                                                                                                                                                                                       Green                                                                                                                                                                                                                                                           8                      Active
CT-712                                             Compactors-JCB-Standard-Black                                                                                                                                                                                                                                   3               JCB                                                                                                                                                                                                                                                             3146.00               3303.00               Standard                                                                                                                                                                                                                                                        Black                                                                                                                                                                                                                                                           7                      Active
CT-713                                             Compactors-Vogele-LightDuty-YellowBlack                                                                                                                                                                                                                         3               Vogele                                                                                                                                                                                                                                                          2570.00               2930.00               LightDuty                                                                                                                                                                                                                                                       YellowBlack                                                                                                                                                                                                                                                     18                     Active
CT-714                                             Compactors-Kleemann-LightDuty-Blue                                                                                                                                                                                                                              3               Kleemann                                                                                                                                                                                                                                                        3275.00               3832.00               LightDuty                                                                                                                                                                                                                                                       Blue                                                                                                                                                                                                                                                            16                     Active
CT-715                                             Compactors-Honda-HeavyDuty-RedWhite                                                                                                                                                                                                                             3               Honda                                                                                                                                                                                                                                                           4778.00               5399.00               HeavyDuty                                                                                                                                                                                                                                                       RedWhite                                                                                                                                                                                                                                                        7                      Active
CT-716                                             Compactors-Caterpillar-HeavyDuty-Yellow                                                                                                                                                                                                                         3               Caterpillar                                                                                                                                                                                                                                                     2931.00               3693.00               HeavyDuty                                                                                                                                                                                                                                                       Yellow                                                                                                                                                                                                                                                          5                      Active
CT-717                                             Compactors-Wirtgen-HeavyDuty-Yellow                                                                                                                                                                                                                             3               Wirtgen                                                                                                                                                                                                                                                         3595.00               4889.00               HeavyDuty                                                                                                                                                                                                                                                       Yellow                                                                                                                                                                                                                                                          19                     Active
CT-718                                             Compactors-Hamm-LightDuty-Green                                                                                                                                                                                                                                 3               Hamm                                                                                                                                                                                                                                                            3454.00               4076.00               LightDuty                                                                                                                                                                                                                                                       Green                                                                                                                                                                                                                                                           9                      Active
CT-719                                             Compactors-AtlasCopco-HeavyDuty-RedWhite                                                                                                                                                                                                                        3               AtlasCopco                                                                                                                                                                                                                                                      3260.00               3977.00               HeavyDuty                                                                                                                                                                                                                                                       RedWhite                                                                                                                                                                                                                                                        10                     Active
CT-720                                             Compactors-IngersollRand-HeavyDuty-Red                                                                                                                                                                                                                          3               IngersollRand                                                                                                                                                                                                                                                   2769.00               3046.00               HeavyDuty                                                                                                                                                                                                                                                       Red                                                                                                                                                                                                                                                             16                     Active
CT-721                                             Compactors-Bomag-Standard-Green                                                                                                                                                                                                                                 3               Bomag                                                                                                                                                                                                                                                           2985.00               3731.00               Standard                                                                                                                                                                                                                                                        Green                                                                                                                                                                                                                                                           10                     Active
DD-300                                             Dredgers-Rohr-HeavyDuty-White                                                                                                                                                                                                                                   4               Rohr                                                                                                                                                                                                                                                            4961.00               6648.00               HeavyDuty                                                                                                                                                                                                                                                       White                                                                                                                                                                                                                                                           8                      Active
DD-301                                             Dredgers-Kesla-Standard-RedWhite                                                                                                                                                                                                                                4               Kesla                                                                                                                                                                                                                                                           8508.00               10039.00              Standard                                                                                                                                                                                                                                                        RedWhite                                                                                                                                                                                                                                                        7                      Active
DD-302                                             Dredgers-Valmet-LightDuty-RedWhite                                                                                                                                                                                                                              4               Valmet                                                                                                                                                                                                                                                          4093.00               4748.00               LightDuty                                                                                                                                                                                                                                                       RedWhite                                                                                                                                                                                                                                                        5                      Active
